id,rating,pop,desc,director,writer,star
779,5.6|21K,,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,John Badham,Tony Griffin|Guy Manos|Peter Barsocchini,Wesley Snipes|Gary Busey|Yancy Butler
780,,,,,,
781,6.6|51K,,A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.,Lawrence Kasdan,Adam Brooks,Meg Ryan|Kevin Kline|Timothy Hutton
782,6.7|8.5K,,A cold-blooded hitman visits his estranged Russian immigrant family in Brooklyn.,James Gray,James Gray,Tim Roth|Edward Furlong|Moira Kelly
783,5.6|13K,,"A group of young boys befriend a prostitute named, V.",Richard Benjamin,John Mattson,Melanie Griffith|Ed Harris|Michael Patrick Carter
784,3.2|526,,"Dr. Stephanie Lyell works for Neurological Research, and is testing a seemingly safe personality-altering drug on Marc Gilmour a notorious Serial Killer. But when a pair of bizarre suicides occur at Dr. Lyell's apartment complex, Homicide Detective Terry Hamilton connects the mysterious deaths to the drug's diabolical side effects on Gilmour. Only after they too begin...",Vadim Jean,John Brosnan|Vadim Jean|Rob Walker,Craig Fairbrass|Elizabeth Hurley|Keith Allen
785,6.5|24K,,"As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later - Faith is about to marry another man - a Damon Bradley calls to wish them all the best. Faith blows off the wedding and follows Damon to Italy.",Norman Jewison,Diane Drake,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt
786,6.0|2.4K,,"In 1980, USA opens to Cuban refugees. Once in Miami, Dorita tries to create a Perez ""family"" of 3 to get a sponsor. She wants Juan to be her ""husband"" - plus a ""son"" or ""dad"".",Mira Nair,Christine Bell|Robin Swicord,Marisa Tomei|Anjelica Huston|Alfred Molina
787,6.4|1.9K,,An elderly yet young-at-heart man moves in with his grandson and both their lives turn upside-down.,Peter Yates,Max Apple|Stephen Metcalfe,Peter Falk|D.B. Sweeney|Julianne Moore
788,5.6|353,,Just why are people surrounding Adam Pratman dropping down dead? Is this five year old really a murderous sociopath?,George Mihalka,Kurt Wimmer,Darlanne Fluegel|Martin Neufeld|James Brolin
789,6.3|1.4K,"3,227|up|88","A young female assistant who is at the center of a studio filled with manipulators, schemers and intrigue. Little do they know she is poised to outwit them all.",Kathleen Robertson,Diane Kruger|Kiernan Shipka|Finn Jones,Kathleen Robertson
790,7.1|92K,"2,025|up|95","After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business.",Peter Segal,Bonnie Turner|Terry Turner,Chris Farley|David Spade|Brian Dennehy
791,5.7|6K,,Seven junior-high-school girls organize a daycare camp for children while at the same time experiencing classic adolescent growing pains.,Melanie Mayron,Ann M. Martin|Dalene Young,Schuyler Fisk|Bre Blair|Rachael Leigh Cook
792,7.4|40K,,"In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced.",Woody Allen,Woody Allen|Douglas McGrath,John Cusack|Dianne Wiest|Jennifer Tilly
793,7.0|11K,,"Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973.",Spike Lee,Joie Lee|Spike Lee|Cinqué Lee,Alfre Woodard|Delroy Lindo|David Patrick Kelly
794,6.4|42K,,A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,Andrew Bergman,Jane Anderson,Nicolas Cage|Bridget Fonda|Rosie Perez
795,5.4|71K,,"A rich young boy finds his family the target of an inside job, and must use his cunning to save them.",Donald Petrie,Neil Tolkin|Tom S. Parker|Jim Jennewein,Macaulay Culkin|Edward Herrmann|John Larroquette
796,5.8|5.3K,,Two political speechwriters fall in love before they find out they are working for candidates on opposite sides.,Ron Underwood,Robert King,Michael Keaton|Geena Davis|Christopher Reeve
797,5.9|61K,,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.",Peter Hyams,Mark Verheiden|Mike Richardson,Jean-Claude Van Damme|Mia Sara|Ron Silver
798,5.4|3.2K,,"Nelson Crowe is a CIA operative under the thumb of the Company for a disputed delivery of $50,000 in gold. They blackmail him into working for the Grimes Organization, which is set up as a private company for hire, to blackmail prominent individuals. Crowe, working with Margaret Wells (another former Covert Operations operative), blackmails and bribes a State Supreme ...",Damian Harris,Ross Thomas,Ellen Barkin|Laurence Fishburne|Frank Langella
799,6.6|479,,"Compilation of four short films about homoerotic situations involving young men. Tom DeCerchio directed ""Nunzio's Second Cousin"", telling the story of a gay cop who forces a gay-basher to come to his house and have dinner with his family. In ""Alkali, Iowa"", by Mark Christopher, a young gay man finds out some of his father's past secrets. And ""Must Be the Music"", by Ni...",Mark Christopher|Tom DeCerchio|Tom Donaghy,Mark Christopher|Tom DeCerchio|Tom Donaghy,Michael Saucedo|Justin Urich|Travis Sher
800,,,,,,
801,5.5|9.2K,,A basketball coach travels to Africa to recruit a new star.,Paul Michael Glaser,Max Apple,Kevin Bacon|Charles Gitonga Maina|Yolanda Vazquez
802,6.2|53K,,"A woman hires a drifter as her guide through New Orleans in search of her missing father. In the process, they discover a deadly game of cat and mouse behind his disappearance.",John Woo,Chuck Pfarrer,Jean-Claude Van Damme|Lance Henriksen|Yancy Butler
803,,,,,,
804,5.3|3.5K,,"A failing actor living in crime infested Los Angeles, frustrated with his career, decides to take the law into his own hands, and becomes the leader of a mock-vigilante group that videotapes criminals and turns them over to the police.",Barry Levinson,Barry Levinson,Joe Pesci|Christian Slater|Victoria Abril
805,7.3|45K,,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,Woody Allen,Woody Allen|Marshall Brickman,Woody Allen|Diane Keaton|Jerry Adler
806,7.5|61K,"3,004|up|50",A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,Albert Hughes|Allen Hughes,Allen Hughes|Albert Hughes|Tyger Williams,Tyrin Turner|Larenz Tate|June Kyoto Lu
807,6.1|16K,,Grieving hairdresser Justice goes on a road trip from South Central L.A. to Oakland on a mail truck alongside her friend and an obnoxious postal worker.,John Singleton,John Singleton,Janet Jackson|Tupac Shakur|Regina King
808,6.5|11K,,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.",David S. Ward,David S. Ward|Aaron Latham,James Caan|Halle Berry|Omar Epps
809,6.2|47K,,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham.",Philip Kaufman,Michael Crichton|Philip Kaufman|Michael Backes,Sean Connery|Wesley Snipes|Harvey Keitel
810,6.0|26K,,"In 1930s New York City, The Shadow (Alec Baldwin) battles his nemesis, Shiwan Khan (John Lone), who is building an atomic bomb.",Russell Mulcahy,Walter B. Gibson|David Koepp,Alec Baldwin|John Lone|Penelope Ann Miller
811,7.3|3.8K,,"A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.",François Girard,François Girard|Don McKellar|Glenn Gould,Colm Feore|Derek Keurvorst|Katya Ladan
812,5.7|7K,,The true story of how a seal named Andre befriended a little girl named Toni and her family in 1962.,George Miller,Harry Goodridge|Lew Dietz|Dana Baratta,Tina Majorino|Keith Carradine|Chelsea Field
813,7.8|7.2K,,A documentary surveying the various Hollywood screen depictions of homosexuals and the attitudes behind them throughout the history of North American film.,Rob Epstein|Jeffrey Friedman,Vito Russo|Rob Epstein|Jeffrey Friedman,Lily Tomlin|Tony Curtis|Susie Bright
814,7.4|478,,"The documentary compiles interviews of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine.",Jean Bach,Jean Bach|Susan Peehl|Matthew Seig,Dizzy Gillespie|Milt Hinton|Marian McPartland
815,6.5|47K,,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.",Michael Hoffman,Terrel Seltzer|Ellen Simon,Michelle Pfeiffer|George Clooney|Mae Whitman
816,5.2|14K,,The Candyman arrives in New Orleans and sets his sights on a young woman whose family was ruined by the immortal killer years before.,Bill Condon,Rand Ravich|Mark Kruger|Clive Barker,Tony Todd|Kelly Rowan|Caroline Barclay
817,4.9|705,,"A first person narrative of the exploits of a gay serial killer in deeply disturbing, controversial drama about violence, sexuality, and the imagination. Dennis, the main character, whose lead we follow on this path between what is real and what we can only hope is surreal. His friends attempt to determine if he's truly a psychopath. The story, is told in the form of ...",Todd Verow,Dennis Cooper|Jim Dwyer|George LaVoo,Michael Gunther|Craig Chester|Michael Stock
818,5.3|6.5K,,An aspiring actress disappointed by her treatment in the movie industry turns to phone sex to make a living.,Spike Lee,Suzan-Lori Parks,Theresa Randle|Isaiah Washington|Spike Lee
819,5.2|11K,,"Coincidences lead to the New York Knicks, getting its loudest fan, Edwina ""Eddie"" Franklin, as coach. Season victory?",Steve Rash,Steve Zacharias|Jeff Buhai|Jon Connolly,Whoopi Goldberg|Frank Langella|Dennis Farina
820,6.5|203K,"2,281|down|30","In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",Joe Pytka,Leo Benvenuti|Steve Rudnick|Timothy Harris,Michael Jordan|Wayne Knight|Theresa Randle
821,6.2|8.2K,,"Connie, unwed and pregnant, is heading to Boston by train when she meets wealthy newlyweds Hugh and Patricia. The train crashes, and when Connie comes to in the hospital, she is mistaken for Patricia, who died in the crash with Hugh.",Richard Benjamin,Cornell Woolrich|Phoef Sutton|Lisa-Maria Radano,Shirley MacLaine|Ricki Lake|Brendan Fraser
822,7.4|11K,,"A middle-aged man leaves his wife for another woman. Shortly after, his ex-wife also begins a relationship with a younger partner. The film follows their struggles to find love amongst each other.",John Cassavetes,John Cassavetes,John Marley|Gena Rowlands|Lynn Carlin
823,6.3|18K,,"In 1950's Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman.",Lee Tamahori,Peter Dexter|Floyd Mutrux,Nick Nolte|Melanie Griffith|Jennifer Connelly
824,5.5|10K,,"The boxing champ's promoter thinks, change is needed. He finds the one man who's beaten his black champ (at 17), a white man now in a rock band. Like Rocky, he trains heavily whereas the champ slacks.",Reginald Hudlin,Tony Hendra|Ron Shelton,Samuel L. Jackson|Jeff Goldblum|Damon Wayans
825,6.2|36K,,"Zane, an astronomer, discovers intelligent alien life. But the aliens are keeping a deadly secret, and will do anything to stop Zane from learning it.",David Twohy,David Twohy,Charlie Sheen|Lindsay Crouse|Richard Schiff
826,5.0|35K,,"The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power.",Simon Wincer,Lee Falk|Jeffrey Boam,Billy Zane|Kristy Swanson|Treat Williams
827,5.9|75K,,Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.,Rob Cohen,Leslie Bohem,Sylvester Stallone|Amy Brenneman|Viggo Mortensen
828,5.7|5.6K,,"While searching for their missing father in the mountains of Alaska, two siblings come across a baby polar bear on the run from a pair of poachers.",Fraser C. Heston,Andy Burg|Scott Myers,Thora Birch|Vincent Kartheiser|Dirk Benedict
829,5.4|9.3K,,Two prisoners chained together flee during an escape attempt gone bad.,Kevin Hooks,Preston A. Whitmore II,Laurence Fishburne|Stephen Baldwin|Will Patton
830,4.5|300,,A controversial talk show host becomes involved in the murder of a beautiful woman in a war for ratings.,Jaime Hellman,Jaime Hellman,Eric Roberts|Lisa Thornhill|Jason Gedrick
831,5.7|77K,"4,857|down|1,219","Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported.",John Carpenter,John Carpenter|Nick Castle|Debra Hill,Kurt Russell|Steve Buscemi|Stacy Keach
832,5.3|6.8K,,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.",Norman Jewison,Jeff Rothberg|Francis X. McCarthy Jr.|Alvin Sargent,Whoopi Goldberg|Gérard Depardieu|Haley Joel Osment
833,5.8|39K,,"Two criminals, Keats and Moses, end their friendship, when Keats turns out to be an undercover cop. Many years later, the two are forced to work together when Keats is assigned to protect Moses as a witness.",Ernest R. Dickerson,Joe Gayton|Lewis Colick,Damon Wayans|Adam Sandler|James Caan
834,4.7|39K,,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.",Joe Chappelle,Debra Hill|John Carpenter|Daniel Farrands,Donald Pleasence|Paul Rudd|Marianne Hagan
835,7.4|8.2K,,A woman thinks a flirting man is the co-respondent her lawyer has hired to expedite her divorce.,Mark Sandrich,Dwight Taylor|Kenneth S. Webb|Samuel Hoffenstein,Fred Astaire|Ginger Rogers|Alice Brady
836,7.8|22K,,A stern Soviet woman sent to Paris to supervise the sale of jewels seized from Russian nobles finds herself attracted to a man who represents everything she is supposed to detest.,Ernst Lubitsch,Charles Brackett|Billy Wilder|Walter Reisch,Greta Garbo|Melvyn Douglas|Ina Claire
837,7.6|14K,,"A penniless drifter (Gary Cooper) is recruited by an ambitious columnist (Barbara Stanwyck) to impersonate a non-existent person who said he'd be committing suicide as a protest, and a social movement begins.",Frank Capra,Richard Connell|Robert Presnell Sr.|Robert Riskin,Gary Cooper|Barbara Stanwyck|Edward Arnold
838,5.3|8.4K,,A disgraced cop finds himself in a race against time to find a kidnap victim whose abductor he accidentally killed.,Steven C. Miller,Jeremy Drysdale,Aaron Eckhart|Courtney Eaton|Ben McKenzie
839,,,,,,
840,7.5|36K,472|up|15,A married father of three tries to maintain his manliness in a world increasingly dominated by women.,Jack Burditt,Tim Allen|Nancy Travis|Hector Elizondo,Jack Burditt
841,5.4|21K,,"Two cops are forced to work together to solve a chain of mysterious killings by a killer nicknamed ""The Family Man"".",John Gray,Kevin Brodbin,Steven Seagal|Keenen Ivory Wayans|Bob Gunton
842,7.4|11K,,A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.,David Swift,Eleanor H. Porter|David Swift,Jane Wyman|Hayley Mills|Richard Egan
843,6.4|5.3K,,A teenage boy is cursed with periodically turning into a sheepdog.,Charles Barton,Bill Walsh|Lillie Hayward|Felix Salten,Fred MacMurray|Jean Hagen|Tommy Kirk
844,6.8|30K,"4,727|down|928","A twisted take on ""Little Red Riding Hood"", with a teenage juvenile delinquent on the run from a social worker travelling to her grandmother's house and being hounded by a charming, but sadistic, serial killer and pedophile.",Matthew Bright,Matthew Bright,Reese Witherspoon|Kiefer Sutherland|Bokeem Woodbine
845,7.0|71K,"1,774|down|195","A local Pennsylvania band scores a one-hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from their manager.",Tom Hanks,Tom Hanks,Tom Hanks|Liv Tyler|Charlize Theron
846,5.8|5K,,"David's wife died 2 years ago. He, his teen daughter Rachel, her cute friend and 2 in-laws trying to fix him up with a friend, are all spending the weekend at his beach house. David still ""talks to his wife"" and neglects Rachel.",Michael Pressman,Michael Brady|David E. Kelley,Peter Gallagher|Michelle Pfeiffer|Claire Danes
847,7.3|8.4K,,"Al Pacino's deeply-felt rumination on Shakespeare's significance and relevance to the modern world through interviews and an in-depth analysis of ""Richard III.""",Al Pacino,William Shakespeare|Al Pacino|Frederic Kimball,Al Pacino|Alec Baldwin|Kevin Spacey
848,7.5|14K,,"After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.",Edward Dmytryk,John Paxton|Raymond Chandler,Dick Powell|Claire Trevor|Anne Shirley
849,6.1|92K,"1,630|up|1,784",A young hot-shot stock car driver gets his chance to compete at the top level.,Tony Scott,Robert Towne|Tom Cruise,Tom Cruise|Nicole Kidman|Robert Duvall
850,7.2|280,,"The filmmakers follow Oliver North's unsuccessful 1994 bid for a Virginia Senate seat, focusing on North's campaign strategist, Mark Goodin, and a Washington Post reporter. Mudslinging ensues.",R.J. Cutler|David Van Taylor,Don Baker|Mark Goodin|Mark Merritt,R.J. Cutler|David Van Taylor
851,6.6|8K,,"A day in the life of a Parisian housewife/prostitute, interspersed with musings on the Vietnam War and other contemporary issues.",Jean-Luc Godard,Catherine Vimenet|Jean-Luc Godard,Jean-Luc Godard|Yves Beneyton|Juliet Berto
852,4.8|165,,"A man is discovered digging a grave for his wife in the middle of the desert, and is arrested for her murder.",Nina Menkes,Russ Little|Tinka Menkes|Robert Muller,Nina Menkes
853,7.5|100K,"2,724|up|145","A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.",Peter Jackson,Stephen Sinclair|Fran Walsh|Peter Jackson,Timothy Balme|Diana Peñalver|Elizabeth Moody
854,6.5|48K,,The population of a small town disappears and is replaced by aliens that chase human flesh for their intergalactic fast-food chain.,Peter Jackson,Peter Jackson|Tony Hiles|Ken Hammon,Terry Potter|Pete O'Herne|Craig Smith
855,7.1|14K,,"Two tapes, two Parisian mob killers, one corrupt policeman, an opera fan, a teenage thief, and the coolest philosopher ever filmed all twist their way through an intricate and stylish French-language thriller.",Jean-Jacques Beineix,Daniel Odier|Jean-Jacques Beineix|Jean Van Hamme,Wilhelmenia Fernandez|Frédéric Andréi|Roland Bertin
856,7.7|62K,,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Jim Jarmusch,Jim Jarmusch,Winona Ryder|Gena Rowlands|Lisanne Falk
857,7.7|35,,"Una familia se reúne para festejar el dÍa de las madres, ese dÍa ante tantos problemas una mujer hablará lo que no ha dicho por años esposo, hijos y nietos escucharán su cansancio y agobio silenciado por sumisión y obediencia.",Rogelio A. González,Myriam Salinas,Sara García|Andrés Soler|Prudencia Grifell
858,4.3|2.7K,,"A children's doll house, which is a miniature of the infamous haunted Long Island house, is given to a young girl where the demonic evil soon comes out to cause more terror.",Steve White,Joshua Michael Stern,Robin Thomas|Starr Andreeff|Allen Cutler
859,6.1|17K,,"Nine college students staying at a friend's remote island mansion begin to fall victim to an unseen murderer over the April Fool's Day weekend, but nothing is as it seems.",Fred Walton,Danilo Bach,Deborah Foreman|Griffin O'Neal|Clayton Rohner
860,6.1|7.5K,,"A New York psychiatrist finds that a brujería-inspired cult, which believes in child sacrifice, has a keen interest in his own son.",John Schlesinger,Nicholas Conde|Mark Frost,Martin Sheen|Helen Shaver|Harley Cross
861,5.2|1.3K,,"Professor Paris Catalano visits Venice, to investigate the last known appearance of the famous vampire Nosferatu during the carnival of 1786.",Augusto Caminito|Klaus Kinski|Maurizio Lucidi,Alberto Alfieri|Leandro Lucchetti|Augusto Caminito,Klaus Kinski|Barbara De Rossi|Yorgo Voyagis
862,5.7|109K,,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",Brian Levant,Randy Kornfield,Arnold Schwarzenegger|Sinbad|Phil Hartman
863,7.3|7.3K,,"The story of the Finzi-Continis, a noble family of Ferrara, during the Jewish persecution in Italy's 1930s.",Vittorio De Sica,Giorgio Bassani|Ugo Pirro|Vittorio Bonicelli,Dominique Sanda|Lino Capolicchio|Helmut Berger
864,6.5|16K,,"Two former U. S. Presidents, hated rivals, join forces to expose the current, corrupt President at the risk of their lives.",Peter Segal,E. Jack Kaplan|Richard Chapman|Peter Tolan,Jack Lemmon|James Garner|Dan Aykroyd
865,7.4|58K,"3,794|down|2,293","In suburban New Canaan, Connecticut, 1973, middle-class families experimenting with casual sex and substance abuse find their lives beyond their control.",Ang Lee,Rick Moody|James Schamus,Kevin Kline|Joan Allen|Sigourney Weaver
866,5.7|44K,,Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that it's true. But that's not the only surprise.,Nora Ephron,Peter Dexter|Jim Quinlan|Nora Ephron,John Travolta|Andie MacDowell|William Hurt
867,7.0|3.8K,,"In 1933 Texas, a schoolteacher and aspiring writer meets a pulp fiction writer, and a relationship soon develops between the two, but it is doomed by his slavishly devotion to his ailing mother and insistence on his freedom.",Dan Ireland,Novalyne Price Ellis|Michael Scott Myers,Vincent D'Onofrio|Renée Zellweger|Ann Wedgeworth
868,8.2|5.9K,,A startling and courageous landmark documentary that unflinchingly confronted the United States' involvement in Vietnam at the height of the controversy that surrounded it.,Peter Davis,Tin Chan|Chau Diem|Ngo Dinh Diem,Peter Davis
869,6.1|37K,,"After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",Andy Tennant,Joan Taylor|Katherine Reback,Matthew Perry|Salma Hayek|Jon Tenney
870,5.6|2.6K,,"At the discovery of his ability to work miracles, Juvenal becomes a media sensation, but now he's prone to those who want to exploit him.",Paul Schrader,Elmore Leonard|Paul Schrader,Bridget Fonda|Christopher Walken|Skeet Ulrich
871,5.9|51K,,"In the fourth outing for the vacation franchise, the Griswolds have to survive Vegas fever when they go to Las Vegas for a fun family vacation.",Stephen Kessler,Elisa Bell|Bob Ducsay,Chevy Chase|Beverly D'Angelo|Randy Quaid
872,7.3|5.2K,,"Darius Lovehall is a young black poet in Chicago who starts dating Nina Mosley, a beautiful and talented photographer. While trying to figure out if they've got a ""love thing"" or are just ""kicking it,"" they hang out with their friend, talking about love and sex. Then Nina tests the strength of Darius' feelings and sets a chain of romantic complications into motion.",Theodore Witcher,Theodore Witcher,Larenz Tate|Nia Long|Isaiah Washington
873,5.5|21K,,"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",Glenn Gordon Caron,Arleen Sorkin|Paul Slansky|May Quigley,Jennifer Aniston|Jay Mohr|Kevin Bacon
874,7.1|6K,,"2 young women reunite and rekindle their friendship after having said goodbye at their college graduation, six years earlier.",Mike Leigh,Mike Leigh,Katrin Cartlidge|Lynda Steadman|Kate Byers
875,5.9|8.5K,,"After being released from a psychiatric institution, a man tries to redeem himself in the eyes of his now-ex wife from the events that led up to his incarceration.",Nick Cassavetes,John Cassavetes,Sean Penn|Robin Wright|John Travolta
876,6.2|30K,,"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",Brett Ratner,Joel Cohen|Alec Sokolow,Charlie Sheen|Chris Tucker|Heather Locklear
877,5.4|14K,,"A bratty teenager fakes her own kidnapping, but gets mistakenly kidnapped for real instead.",Marco Brambilla,Max D. Adams|Dick Clement|Ian La Frenais,Alicia Silverstone|Benicio Del Toro|Christopher Walken
878,4.6|4.7K,,"A maid is kidnapped and scratches a message onto D.C. the cat's collar and when his owner Patti discovers this, she plays amateur detective with the help of D.C. to try to find the culprits.",Bob Spiers,Gordon Gordon|Mildred Gordon|Bill Walsh,Christina Ricci|Doug E. Doug|Dean Jones
879,6.0|60K,,A US Army colonel and a civilian woman supervising him must track down stolen Russian nuclear weapons before they're used by terrorists.,Mimi Leder,Leslie Cockburn|Andrew Cockburn|Michael Schiffer,George Clooney|Nicole Kidman|Marcel Iures
880,7.0|8.6K,,"One person can keep a family together and, when that one person is gone, a family can be torn apart.",George Tillman Jr.,George Tillman Jr.,Vanessa Williams|Vivica A. Fox|Nia Long
881,6.2|30K,,"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",Brett Ratner,Joel Cohen|Alec Sokolow,Charlie Sheen|Chris Tucker|Heather Locklear
882,6.7|3.5K,,"In this adaptation of the Henry James novel set in 19th-century New York City, a wealthy spinster with an overbearing father is pursued by a handsome fortune hunter who may be only after her money.",Agnieszka Holland,Henry James|Carol Doyle,Jennifer Jason Leigh|Albert Finney|Maggie Smith
883,6.2|2.3K,,"A loner befriends a local celebrity, Billy Magic, but he soon begins to tell lies in order to maintain the friendship and the newfound status.",Guy Ferland,Joe Eszterhas,Kevin Bacon|Brad Renfro|Maximilian Schell
884,6.6|1.9K,,"This film documents Neil Young and Crazy Horse's 1996 concert tour. Jim Jarmusch interviews the band about their long history, and we see backstage footage from the 1970s and 1980s.",Jim Jarmusch,Neil Young|Jim Jarmusch|Ralph Molina,Jim Jarmusch
885,5.4|22K,,"In the peaceful town of Snowfield, Colorado something evil has wiped out the community. And now, its up to a group of people to stop it, or at least get out of Snowfield alive.",Joe Chappelle,Dean R. Koontz,Peter O'Toole|Rose McGowan|Joanna Going
886,6.3|36K,,"Upon being fired, a desperate guy kidnaps a daughter of his former boss. Two angels are sent to Earth to check if love is possible in this case.",Danny Boyle,John Hodge,Cameron Diaz|Ewan McGregor|Holly Hunter
887,7.2|11K,,"What did little Eve see--and how will it haunt her? Husband, father and womanizer Louis Batiste is the head of an affluent family, but it's the women who rule this gothic world of secrets, lies and mystic forces.",Kasi Lemmons,Kasi Lemmons,Samuel L. Jackson|Jurnee Smollett|Meagan Good
888,5.9|7.1K,,"Max/W.Snipes has a one night stand with Karen/N.Kinski in NYC. He returns to his wife, 2 kids and career in LA but is affected. A year later, Max and Karen meet again by chance, but this time they're with their spouses.",Mike Figgis,Mike Figgis,Wesley Snipes|Nastassja Kinski|Kyle MacLachlan
889,6.7|2.4K,,A scriptwriter comes to Paris to work on her film. There she takes up tango lessons and forms a relationship with the dancer.,Sally Potter,Sally Potter,Sally Potter|Pablo Verón|Morgane Maugran
890,3.6|56K,,A group of martial-arts warriors has only six days to save the Earth from an extra-dimensional invasion.,John R. Leonetti,Ed Boon|Lawrence Kasanoff|Joshua Wexler,Robin Shou|Talisa Soto|James Remar
891,7.1|8.5K,,"In 1930s Berlin, a gay Jew is sent to a concentration camp under the Nazi regime.",Sean Mathias,Martin Sherman,Lothaire Bluteau|Clive Owen|Mick Jagger
892,5.3|92K,,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.",Les Mayfield,Samuel W. Taylor|John Hughes|Bill Walsh,Robin Williams|Marcia Gay Harden|Christopher McDonald
893,5.8|12K,,An unhappily married Manhattan socialite couple flee from the I.R.S. and end up in Amish country where they pretend to be visiting relatives.,Bryan Spicer,Jana Howington|Steve LuKanic,Tim Allen|Kirstie Alley|Jay O. Sanders
894,4.5|121K,"2,978|up|2,266","Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,John Hughes,Alex D. Linz|Olek Krupa|Rya Kihlstedt
895,6.3|195K,692|down|266,"Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",Wes Craven,Kevin Williamson,Neve Campbell|Courteney Cox|David Arquette
896,7.5|36K,,"A bus crash in a small town brings a lawyer to defend the families, but he discovers everything isn't what it seems.",Atom Egoyan,Russell Banks|Atom Egoyan,Ian Holm|Sarah Polley|Caerthan Banks
897,4.6|72,,"When the discovery of a five-thousand year old artifact of a humanoid reptile leads an investigative reporter to the Kronos Project, he uncovers an experimental device created to send humans through time, controlled by a ruthless multi-billionaire. As the Kronos experiment progresses through the Civil War era to the Jurassic age, high-tech sabotage and deceit ensue, r...",Bret McCormick,Ted Newsom,Rocky Patterson|TJ Myers|Tyler Mason
898,6.1|76K,"4,443|up|249",A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.,Kevin Costner,David Brin|Eric Roth|Brian Helgeland,Kevin Costner|Will Patton|Larenz Tate
899,6.9|3.6K,,"A recent widow, who is determined to leave Scotland for Australia with her son, gets an unexpected visit from her aging mother.",Alan Rickman,Sharman Macdonald|Alan Rickman,Phyllida Law|Emma Thompson|Sheila Reid
900,7.0|29K,,"From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.",Martin Scorsese,Melissa Mathison,Tenzin Thuthob Tsarong|Gyurme Tethong|Tulku Jamyang Kunga Tenzin
901,4.0|16K,,The myopic millionaire defeats jewel smugglers in his usual bumbling manner.,Stanley Tong,Pat Proft|Tom Sherohman,Leslie Nielsen|Kelly Lynch|Matt Keeslar
