id,rating,pop,desc,director,writer,star
397,5.8|44K,,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom.",Rowdy Herrington,Rowdy Herrington|Marty Kaplan,Bruce Willis|Sarah Jessica Parker|Dennis Farina
398,4.1|59K,21|up|6,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",Annabel Jankel|Rocky Morton,Parker Bennett|Terry Runte|Ed Solomon,Bob Hoskins|John Leguizamo|Dennis Hopper
399,6.4|57K,"2,194|up|100","France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country.",Stephen Herek,Alexandre Dumas|David Loughery,Charlie Sheen|Kiefer Sutherland|Chris O'Donnell
400,6.3|52K,"1,664|up|183","Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.",Penelope Spheeris,Penelope Spheeris|Robert Wolterstorff|Mike Scott,Travis Tedford|Bug Hall|Brittany Ashton Holmes
401,6.2|23K,"2,669|down|292","The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",Betty Thomas,Sherwood Schwartz|Laurice Elehwany|Rick Copp,Shelley Long|Gary Cole|Christine Taylor
402,7.1|224K,"1,109|up|48","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",Jerry Zucker,Bruce Joel Rubin,Patrick Swayze|Demi Moore|Whoopi Goldberg
403,7.5|385K,"1,027|up|4","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Tim Burton,Bob Kane|Sam Hamm|Warren Skaaren,Michael Keaton|Jack Nicholson|Kim Basinger
404,7.5|152K,"4,532|down|222","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",Norman Ferguson|T. Hee|Wilfred Jackson,Carlo Collodi|Ted Sears|Otto Englander,Dickie Jones|Christian Rub|Mel Blanc
405,7.1|436K,545|up|16,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Brian De Palma,Bruce Geller|David Koepp|Steven Zaillian,Tom Cruise|Jon Voight|Emmanuelle Béart
406,5.8|32K,"3,934|up|796",An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.,Tom Holland,Stephen King|Michael McDowell|Tom Holland,Robert John Burke|Joe Mantegna|Lucinda Jenney
407,5.3|39K,,"Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot KGB Agent Veronique Ukrinsky to find Rancor and save the world.",Rick Friedberg,Jason Friedberg|Aaron Seltzer|Rick Friedberg,Leslie Nielsen|Nicollette Sheridan|Charles Durning
408,8.1|42K,,Wallace's whirlwind romance with the owner of the local wool shop puts his head in a spin; Gromit is framed for sheep-rustling in a fiendish criminal plot.,Nick Park,Bob Baker|Nick Park,Peter Sallis|Anne Reid
409,5.8|62K,"4,187|up|167","Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled.",Francis Ford Coppola,James DeMonaco|Gary Nadeau,Robin Williams|Diane Lane|Brian Kerwin
410,6.9|87K,"2,330|up|255","A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.",Bobby Farrelly|Peter Farrelly,Barry Fanaro|Mort Nathan,Woody Harrelson|Randy Quaid|Bill Murray
411,5.7|120K,"3,972|down|374",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,Tom Shadyac,Jerry Lewis|Bill Richmond|David Sheffield,Eddie Murphy|Jada Pinkett Smith|James Coburn
412,5.8|11K,,"The Bradys are surprised when a man claiming to be Carol's long lost first husband shows up at their home. Before long, his strange actions cause them to question his motives.",Arlene Sanford,Sherwood Schwartz|Harry Elfont|Deborah Kaplan,Shelley Long|Gary Cole|Tim Matheson
